index,0,1,2,3,4,5
107,"1935 - AMEZAGA Unai
itxas argia mt",V1H,31,29:56:58,09:45:14,España
108,"1958 - BINDER Hubert
SESSENHEIM",V1H,32,29:57:30,09:45:46,Francia
109,"90 - STEPHENSON Shona
INOV8",SEF,6,30:04:21,09:52:37,Australia
110,573 - MEREDITH Joel,V1H,33,30:04:32,09:52:48,Estados Unidos
111,"230 - VINASSA Fabrizio
G.S. MONCENISIO",SEH,63,30:04:50,09:53:06,Italia
112,"2028 - SILVA Antonio
NELPEDATLETA",V1H,34,30:08:24,09:56:40,Portugal
113,426 - LEFIEF Jean-Philippe,V1H,35,30:08:27,09:56:43,Francia
114,"2565 - TEYSSANDIER Frederic
ARAVISTRAIL",SEH,64,30:09:59,09:58:15,Francia
115,"1574 - PEREZ PALENCIA Santiago
KULUMSPORT",V1H,36,30:10:58,09:59:14,España
116,744 - DAVICO Claudio,V2H,5,30:13:47,10:02:03,Chile
117,"171 - MORWOOD Sarah
Mud Crew Ultra Team",SEF,7,30:16:05,10:04:21,Reino Unido
118,"386 - DECONIHOUT Jacky
Team -TEMPS COURSE- MONTPELLIER",V3H,1,30:16:07,10:04:23,Francia
119,743 - ALMGREN Tor,V2H,6,30:29:59,10:18:15,Suecia
120,695 - LANGUILLAT Peter,V1H,37,30:32:56,10:21:12,Francia
121,"2131 - PODARIU Cosmin
ROMANIA - JET POWER TEAM",SEH,65,30:35:54,10:24:10,Rumania
122,"563 - WARD David
PENNINE FELL RUNNERS",SEH,66,30:38:03,10:26:19,Reino Unido
123,"94 - WARDIAN Michael
Hoka One One, UVU, Vitargo, Nathan, Suunto, Injinji, Petzl, Julbo, 110%, MarathonGuide.com, The Sti",V1H,38,30:40:49,10:29:05,Estados Unidos
124,1001 - DUMONCEAU Pascal,V1H,39,30:42:05,10:30:21,Francia
125,1316 - BANCHEREAU Julien,SEH,67,30:43:53,10:32:09,Francia
126,638 - GOULET Pascal,V1H,40,30:46:41,10:34:57,Francia
127,"2393 - OLVERA BAENA Ivan
AEMDEKP",SEH,68,30:47:36,10:35:52,España
128,"99 - KISS Miklos
SALOMON Hungary",V1H,41,30:49:31,10:37:47,Hungría
129,"236 - PESCE Ivan
BERGTEAM2014",SEH,69,30:51:26,10:39:42,Italia
130,"2081 - GODOY ROMERO Francisco Jose
BE PALEO RUNNER",SEH,70,30:53:44,10:42:00,España
131,"383 - SANGIORGIO Gustavo
THE NORTH FACE",V2H,7,30:54:16,10:42:32,Italia
132,1098 - ROBINSON Bernard,V1H,42,30:54:50,10:43:06,Nueva Zelandia
133,"1372 - STIRK Adam
GUILDFORD AND GODALMING AC",SEH,71,30:54:53,10:43:09,Reino Unido
134,"213 - CARRET Estelle
DOMINICAINE ATHLETISME",SEF,8,31:01:51,10:50:07,Francia
135,"2228 - BENEZIS Gerasimos
SAFANS",SEH,72,31:02:58,10:51:14,Grecia
